Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Circuit training duration (ms)
2020-02-16,,,,78.02649404513889,,,,,,,,,,,,,,,,,
2020-02-17,,,,1384.5,,,,,,,,,,,,,,,,,
2020-02-18,,,,1384.5,,,,,,,,,,,,,,,,,
2020-02-19,,,,1384.4999931204634,,,,,,,,,,,,,,,,,
2020-02-20,55.0,55.0,55.0,1423.391142401863,,,,,,,708,355.89408630132675,0.38113626584155913,1.3272285461425781,0.2557588517665863,9,,3350345,925294,,
2020-02-21,,,,1580.6519379707665,7.0,7,,,,,6396,3760.187554359436,0.42266647861280626,1.4537793397903442,0.2615191638469696,90,,76925123,4449722,92581,
2020-02-22,,,,1505.592148929332,7.0,7,,,,,4652,2526.5565987825394,0.4592336998085448,1.6075129508972168,0.24409450590610504,54,,75023644,2881004,,
2020-02-23,,,,1431.0740151851498,4.0,4,,,,,2376,1256.3532435894012,0.3588998313510335,1.3307636976242065,0.24389809370040894,26,,84258425,1108081,,
2020-02-24,,,,1498.0138915258815,10.0,10,,,,,6035,3456.1138916015625,0.4881629151611715,1.6158545017242432,0.2615191638469696,77,,80854876,2700704,,
2020-02-25,,,,1464.368745646592,6.0,6,,,,,3457,1912.2769442796707,0.4367244407117241,1.503686785697937,0.247860386967659,39,,80114975,1900224,,
2020-02-26,,,,1537.722882289208,4.0,4,,,,,3668,2186.098997116089,0.5243249638785015,1.4889895915985107,0.2719799280166626,61,,73788560,3645453,,
2020-02-27,,,,1533.557813990506,10.0,10,,,,,5870,3507.813906311989,0.5210970872540373,1.5047430992126465,0.2719799280166626,82,,79557046,3546360,,
2020-02-28,,,,1551.6922867155438,4.0,4,,,,,3718,2190.3988023996353,0.42094728736718634,1.3336541652679443,0.2652585506439209,59,,78034952,3977810,,
2020-02-29,,,,1487.3922945883644,6.0,5,,,,,2410,1315.3234839439392,0.36363104628513004,1.678960919380188,0.26817554235458374,29,,79521113,2447996,,
2020-03-01,,,,1518.8304773266357,7.0,7,,,,,4804,2816.0740287303925,0.5259341955788563,1.503164529800415,0.2707940936088562,58,,80734510,3195968,,
2020-03-02,,,,1596.9366726162864,9.0,9,,,,,5805,3485.095805168152,0.4702120642141175,1.6145949363708496,0.2375498265028,79,,78467150,5054258,,
2020-03-03,,,,1545.0437350553893,18.0,18,,,,,6197,3722.95106780529,0.3928867969154376,1.6330461502075195,0.2585985064506531,74,,78262445,3819631,,
2020-03-04,,,,1510.555317895457,3.0,3,,,,,3505,2053.032482624054,0.37065848136615803,1.3311842679977417,0.2719799280166626,64,,77231295,2999088,,
2020-03-05,,,,1560.3738881106356,7.0,7,,,,,4926,2878.3721784353256,0.3896197714116988,1.4854658842086792,0.24688716232776642,67,,73879698,4184364,,
2020-03-06,,,,1664.7004492706935,33.0,25,,,,,7700,5082.183117985725,0.6096059017545206,3.021373748779297,0.2719799280166626,85,,78226572,4882948,602774,
2020-03-07,,,,1612.4945272179,33.0,25,,,,,6959,4810.589245080948,0.3953326463403505,2.7250120639801025,0.24960929155349731,86,,79113394,3892355,490640,
