Date,Calories,Distance,Low_latitude,Low_longitude,High_latitude,High_longitude,Average_speed,Max_speed,Min_speed,Step_count,Average_weight,Max_weight,Min_weight,Move ,Heart_point,Heart_minutes,Biking_duration,Inactive_duration,Walking_duration,Running_duration
09-01-19,2009.7327,7372.049643,12.9836992,80.2275139,12.9895287,80.2360912,1.018094238,8.619999886,0.113021888,12716,,,,151,44,44,,75266222,8753841,
09-02-19,2041.791085,7633.338808,12.9838311,80.2230276,12.9895996,80.2361394,0.789021149,6.579999924,0.050600726,10548,,,,159,55,55,1918502,74089157,7288987,
09-03-19,1876.149418,5140.428308,12.9839867,80.2269659,12.9917541,80.2358491,0.725030889,3.440000057,0.24993901,10255,,,,119,20,20,,76647141,6306102,
09-04-19,1844.911027,4988.63407,12.9840842,80.2303249,12.9906009,80.2354972,0.612671054,1.722481608,0.272343248,9016,,,,105,18,18,,74344589,5729432,
09-05-19,2195.678803,11043.77904,12.9786297,80.2270568,12.9917657,80.2374331,0.770244228,7,0.105015934,12070,,,,200,83,83,3760724,71333463,8129991,
09-06-19,2345.289397,17741.58848,12.9756469,80.2275916,12.9913976,80.266664,0.800691308,8,0.099408045,15108,,,,265,95,94,4540081,62807580,10045818,
09-07-19,2030.342427,9360.556404,12.9840652,80.2232915,12.9909933,80.2380172,0.807561839,5.922677994,0.050901897,8860,,,,158,64,64,2760093,75093085,6178829,
09-08-19,2054.223215,8687.392848,12.9838933,80.2117454,13.0828102,80.2628332,1.286485727,34,0.019648736,12410,,,,178,61,61,1788681,66994785,7648812,
09-09-19,2149.296599,8644.655754,12.9838953,80.2178671,12.9909959,80.2356581,0.764364702,13,0.021919752,6798,,,,191,92,92,5857009,71196923,5012775,
09-10-19,2182.886665,10730.15951,12.9811477,80.2272165,12.9912078,80.2379362,0.656689162,3.819999933,0.080507152,5351,,,,185,115,115,7312605,71224195,4091613,
09-11-19,1355.70745,1354.74141,12.9842704,80.2342925,12.987215,80.236231,1.228187388,4.590000153,0,6356,,,,106,21,21,978464,33182697,482553,
09-12-19,1532,,,,,,1.801273513,3.630000114,0.50999999,13214,,,,173,25,25,,,,
09-13-19,1870.288737,3879.933476,12.9841788,80.2327859,12.988092,80.2361394,1.267067602,4.032684326,0.099862725,12146,,,,181,33,33,1193766,19935652,4879300,
09-14-19,2333.156802,11586.83638,11.7710747,78.1989111,11.7953963,78.209108,2.038088346,21.20000076,0.255292892,21581,,,,267,22,22,,25956611,14680172,
